title,year,tmdb_id,actor_name,character,cast_order,actor_tmdb_id,popularity
Captain America,1944,106355,Dick Purcell,Captain America / Grant Gardner,0,13970,0.397
Captain America,1944,106355,Lorna Gray,Gail Richards,1,96719,0.4055
Captain America,1944,106355,Lionel Atwill,Cyrus Maldor,2,2495,0.4445
Captain America,1944,106355,Charles Trowbridge,Police Commissioner Dryden,3,96721,0.3023
Captain America,1944,106355,Russell Hicks,Mayor Randolph,4,13969,0.8038
Captain America,1944,106355,George J. Lewis,Bart Matson,5,120061,0.9185
Captain America,1944,106355,John Davidson,Gruber,6,120738,0.2469
Captain America,1944,106355,Frank Reicher,Lyman,7,3245,0.5615
Captain America,1944,106355,Al Ferguson,Detective,8,1090894,0.2631
Captain America,1944,106355,Howard Hickman,Lyman’s Attorney,9,33025,0.2943
Captain America,1944,106355,Tom London,Mack,10,932309,0.3377
Captain America,1944,106355,Edward Van Sloan,Gregory,11,1550,0.3321
Captain America,1944,106355,James Carlisle,J.V. Wilson (uncredited),12,1471395,0.1796
The Amazing Spider-Man,1977,225914,Nicholas Hammond,Peter Parker / Spider-Man,0,29095,1.136
The Amazing Spider-Man,1977,225914,David White,J. Jonah Jameson,1,141694,0.7893
The Amazing Spider-Man,1977,225914,Michael Pataki,Captain Barbera,2,15993,0.5399
The Amazing Spider-Man,1977,225914,Hilly Hicks,Robbie Robertson,3,1213887,0.2947
The Amazing Spider-Man,1977,225914,Lisa Eilbacher,Judy Tyler,4,779,0.9537
The Amazing Spider-Man,1977,225914,Dick Balduzzi,Delivery Man,5,78085,0.5707
The Amazing Spider-Man,1977,225914,Jeff Donnell,Aunt May Parker,6,14576,0.5725
The Amazing Spider-Man,1977,225914,Bob Hastings,Monahan,7,34973,0.7607
The Amazing Spider-Man,1977,225914,Barry Cutler,Purse Snatcher,8,95141,0.486
The Amazing Spider-Man,1977,225914,Thayer David,Edward Byron,9,16524,0.9603
The Amazing Spider-Man,1977,225914,Ivor Francis,Prof. Noah Tyler,10,84327,0.4057
The Amazing Spider-Man,1977,225914,Norman Rice,Henchman,11,165927,0.0633
The Amazing Spider-Man,1977,225914,Len Lesser,Henchman,12,78087,0.7031
The Amazing Spider-Man,1977,225914,Carmelita Pope,Group Member,13,2514456,0.0143
The Amazing Spider-Man,1977,225914,George Lane Cooper,Group Member,14,1806344,0.3578
Spider-Man,1977,225914,Nicholas Hammond,Peter Parker / Spider-Man,0,29095,1.136
Spider-Man,1977,225914,David White,J. Jonah Jameson,1,141694,0.7893
Spider-Man,1977,225914,Michael Pataki,Captain Barbera,2,15993,0.5399
Spider-Man,1977,225914,Hilly Hicks,Robbie Robertson,3,1213887,0.2947
Spider-Man,1977,225914,Lisa Eilbacher,Judy Tyler,4,779,0.9537
Spider-Man,1977,225914,Dick Balduzzi,Delivery Man,5,78085,0.5707
Spider-Man,1977,225914,Jeff Donnell,Aunt May Parker,6,14576,0.5725
Spider-Man,1977,225914,Bob Hastings,Monahan,7,34973,0.7607
Spider-Man,1977,225914,Barry Cutler,Purse Snatcher,8,95141,0.486
Spider-Man,1977,225914,Thayer David,Edward Byron,9,16524,0.9603
Spider-Man,1977,225914,Ivor Francis,Prof. Noah Tyler,10,84327,0.4057
Spider-Man,1977,225914,Norman Rice,Henchman,11,165927,0.0633
Spider-Man,1977,225914,Len Lesser,Henchman,12,78087,0.7031
Spider-Man,1977,225914,Carmelita Pope,Group Member,13,2514456,0.0143
Spider-Man,1977,225914,George Lane Cooper,Group Member,14,1806344,0.3578
Dr. Strange,1978,50468,Peter Hooten,Dr. Stephen Strange,0,91624,0.5064
Dr. Strange,1978,50468,Clyde Kusatsu,Wong,1,2249,1.1698
Dr. Strange,1978,50468,Jessica Walter,Morgan LeFay,2,41232,1.909
Dr. Strange,1978,50468,Anne-Marie Martin,Clea Lake,3,9986,0.7355
Dr. Strange,1978,50468,Philip Sterling,"Dr Frank Taylor, Chief of Psychiatry",4,22437,0.6783
Dr. Strange,1978,50468,John Mills,Thomas Lindmer,5,11859,1.0419
Dr. Strange,1978,50468,June Barrett,Sarah,6,564081,0.0716
Dr. Strange,1978,50468,Sarah Rush,Nurse,7,166055,0.5732
Dr. Strange,1978,50468,Diana Webster,Head Nurse,8,151731,0.2187
Dr. Strange,1978,50468,Bob Delegall,Intern,9,154123,0.1639
Dr. Strange,1978,50468,Larry Anderson,Magician,10,1213554,0.3406
Dr. Strange,1978,50468,Blake Marion,Department Chief,11,166068,0.0561
